Country,Continent,Capital,Language,Currency,Domain,Driving Side,License Plate,Bollard,Chevron,Utility Pole,Curb,Guardrail,Lanes,Stop Sign,Pedestrian Sign,Direction Sign,Road Number,Road Sign,Sign/Traffic Post,Architecture,Landscape,Google Car,Follow Car,Street,Rift,Camera Generation,Miscellaneous
Senegal,Africa,Dakar,french,,.sn,right,"blue,european_plate",french_bollards,,french_poles,,,"yellow_outer,white_center,triple_center",,,,,"french_signs,pink_outline",french_signs,,"flat_arid_savannah_above_Gambia,greener_below_Gambia","white,silver_pickup_truck,silver_west,white_below_Gambia","black_lamps_solar_panel,yellow_taxis,white_taxis_Touba","black_lamps_solar_panel,yellow_taxis,white_taxis_Touba",TRUE,"3,4",
South Africa,Africa,Pretoria,english,rand,.za,left,"multiple_designs_with_2_letter_province_code_on_the_right,yellow_commercial",,"white_on_red,red_on_white","bird_poles,wooden_poles,A_poles_southwest,alternating_insulators_north_and_west,perpendicular_poles_north_and_east,metal_arms_east",,,,,,green_background,"N,R","triangular,white_background,red_border",yellow,"high_walls,fences","barren_orange_soil_with_hills_and_shrubs_northeast,rocky_treeless_mountains_Western_Cape,vineyards_Western_Cape,dry_red_soil_Northern_Cape,sugarcane_Kwazulu_Natal,cook_pine_trees_southeast,trees_east,golden_grass_Cape_Town,flat_green_subtropical_Mozambique_border,table_mountain_Cape_Town",camo_roof_rack_Kruger_National_Park,,,,"2,3,4",circular_distortion_gen2_only_found_in_South_Africa
Tunisia,Africa,Tunis,"arabic,french",,.tn,right,black_white_text,french_bollards,white_on_blue,"french_poles,fork_poles,indents",red_white,,"white,yellow_Sfax","arabic,latin",,white_background,,"triangular,white_background,red_border",,shade_of_blue,"mediterranean_hilly_Tunis,flat_and_olive_trees_between_Hammamet_and_Gabes,dry_semidesert_south_of_Gabes,palm_trees_Djerba","black,thin_antenna","dark_green,white,lighter_color_north_Hammamet_Sud,darker_color_south_Hammamet_Sud,police_car_Island_of_Djerba,white_Mitsubishi_Kairouan",,,3,
Uganda,Africa,Kampala,english,,.ug,left,"white_front,yellow_rear",,,"wooden_poles,3_voltage_relays,metal_circle_on_top",black_white,,,,,,,"triangular,white_background,red_border,yellow_border",,,red_soil_and_hilly_near_Kampala,"white_with_square_side_mirrors_Kampala,white_with_black_bar_in_national_parks_and_Katwe",,vans_with_blue_blocky_patterns,,3,
Bangladesh,Asia,Dhaka,bengali,,.bd,left,"white,black,turquoise_rickshaw",white_red_striped_concrete_bollards,,wooden_poles,,,,,,green_background,,"triangular,white_background,red_border",black_white_striped,tin_roofs,"mountain_roads_Chattogram_and_Lawachara_National_Park,bodies_of_water,agricultural_fields","white_gen3_southeast_of_Dhaka,striped_white_gen3_southwest_of_Dhaka,red_mirror_green_reflection,person_holding_hayfork_Sylhet,person_without_hayfork_Barishal",,"green_rickshaws,trees_with_bottom_painted_white",,"3,4,shitcam","trekker_with_red_reflections_Nijhum_Dwip,trekker_escorted_by_guard_Saint_Martin's_Island,trekker_left_mirror_visible_Hatiya_Island"
Bhutan,Asia,Thimphu,dzongkha,,.bt,left,red,,,thin_metal_poles_painted_black_bottom,,,white_outer_solid_southwest,,,green_background,,yellow_white_markers,,"traditional_Bhutanese_structure,tin_roofs,wooden_painted_frames","mountainous,flat_south,Gelephu_Airport_south,Paro_International_Airport_dry_west,Bumthang_Domestic_Airport_wet_central_east",grey_without_antenna,,"stone_blocks_on_rural_roads,prayer_flags,taxis_yellow_license_plate_yellow_roof",,3,the_only_left_hand_driving_country_with_grey_google_car
Cambodia,Asia,Phnom Penh,khmer,,.kh,right,"white_blue_text,green_for_commercial","white_red_striped_rectangular,red_white_pyramid_top,white_black_striped_southwest_border,triangular_bollards_southwest",yellow_on_black,"concrete_poles_with_indents,round_concrete_poles_with_holes,3_horizontal_beams_with_insulators_hanging_northwest",,,"white_outer,yellow_center",,,green_background,,"red_white_markers,yellow_diamond",,"wooden_houses_on_stilts,tiled_roofs_with_ornaments","flat_cultivated_northwest_and_south,natural_vegetation_northeast,hills_and_mountains_southwest,sandy_white_soil_southeast_of_Phnom_Penh,mountain_ridges_and_red_soil_northwest_border,rubber_trees_central_east,palm_trees_southwest","stubby_antenna_with_3_ridges,striped_white",,Buddhist_temples,,"3,shitcam","angkor,anchor_brands,shitcam_southwest"
Hong Kong,Asia,Beijing,"chinese,english",,.hk,left,"white_front,yellow_rear",yellow_bollards_with_white_arrow_in_blue_circle,,cylindrical_wooden_poles,grey,,"yellow_outer,white_center",,,"white_background,black_border,green_background,white_background_light_blue_border",,"triangular,white_background,red_border",cylindrical_grey_lamps_with_white_stickers,"skyscrapers,tall_apartments,air_conditioners_on_apartment_walls,wall_of_identical_apartments_southwest","flat_waterlogged_rice_paddies_northwest_border,tropical_vegetation_north",,,"grey_pedestrican_guardrails,yellow_pedestrian_crossing,red_fire_hydrants,orange_bins,black_yellow_striped_blocks_west_border",,"2,3,4",trekker_rural_towns_south
India,Asia,New Delhi,"hindi,english",,.in,left,"white,yellow_commercial,green_electric",,,"concrete_poles,metal_holey_poles_Kerala,metal_poles_with_mesh_pattern_Sikkim,vshaped_poles,holey_poles_Gujarat,poles_divided_in_two_sections_Pradesh_Telangana,thin_grey_metal_poles_northeast,trident_poletops_horizontal_bar_Haryana,flipped_triangle_poletops_thin_diagonal_support_central,flipped_A_shaped_poles_central,bow_shaped_central_east,tall_and_narrow_rectangle_west_Bengal,even_uneven_poles_northeast,<_shaped_poles_northeast,2_cross_bars_2_insulators_northeast,trident_poles_with_middle_bar_bent_northeast,short_crossbar_above_longer_one_Goa,window_shaped_top_Punjab_Haryana,yellow_marking_Kerala",black_yellow,,white,,,,,,"black_white_striped,black_yellow_striped_Delhi,black_yellow_striped_4_Bihar","mint_green_electricity_counters_Punjab,rounded_roof_tiles_central,flat_bright_orange_roof_tiles_south,metal_roofs_with_triangular_section_northeast,house_walls_made_of_square_panels_northeast,thatched_roofs_northern_plains_and_eastcoast,wooden_fences_square_pattern_northeast,wooden_huts_and_clay_huts_Bihar","trees_painted_white_black_bottom_Tamil_Nadu,chir_pines_Himachal_Pradesh,khasi_pines_northeast,canola_northwest,cotton_central_west,dark_soil_central_west,red_soil_central_east_and_southwest,dry_soil_northwest,very_red_soil_Tamil_Nadu","large_blur,white_square_shaped,red_square_shaped",,"yellow_tuktuks_souths,buddhist_prayer_flags_northeast,orange_or_green_bus_Delhi,separated_middle_lane_Ahmedabad,black_taxis_yellow_roof_Mumbai,taxis_with_yellow_hood_or_yellow_circle_Sikkim,trees_painted_white_and_red_bottom_Mumbai,trees_painted_white_and_brown_bottom_Mumbai",,"2,3,shitcam",
Indonesia,Asia,Jakarta,indonesian,rupiah,.id,left,black_white_text,"black_white_square,black_white_circular,black_yellow_with_red_reflector,uk_bollards_kalimantan,yellow_white_black_square_central_Sulawesi",black_on_yellow,"triangle_attachment_under_horizontal_bar_central_south_sumatra_and_west_java,extra_support_Lesser_Sunda_Islands,trident_pole_tops_central_java,rectangle_attachment_Bali,short_horizontal_attachment_northeast_Sulawesi,thin_black_poles_east_Sulawesi,two_colored_tapes_east_Sulawesi,balanced_bar_with_unevan_insulators_north_Sumatra",,"type-A,black_yellow_striped","white_outer,white_or_yellow_center",,,yellow_waystones_angled_towards_road,,,,"fences_painted_blue_or_red_Sulawesi,tiled_roofs_southern_half,metal_roofs_northern_half,horizontal_slots_inside_triangles_south_Sulawesi,high-pitched_roofs_Sumba,crown_shaped_roof_pinnacles_Bali,boat_shaped_roofs_west_Sumatra,roofs_made_of_wooden_chips_Kalimantan,gable_horns_central_Sumatra_central_Kalimantan_and_south_Sulawesi,churches_far_east","oil_palm_trees_Sumatra_and_Kalimantan,rice_Java_south_Sulawesi_and_south_Sumatra,dry_Nusas,savannah_north_Sumba,red_soil_Batam_and_Banga_Belitung_Islands","white_rear_with_short_antenna_gen3_Java,black_rear_gen3_Sulawesi,white_SUV_with_black_bars_Bali,black_car_with_person_sitting_Bali",,"bridge_sides_painted_green_central_south_Kalimantan,indomaret_convenience_store,bank_bri,bank_sumselbabel_south_Sumatra",,"3,4","cigarette_ads_with_black_or_red_scheme,motorcycles_with_front_license_plate,kabupaten_for_regency,utara_north,timur_east,selatan_south,barat_west,tengah_central"
Israel,Asia,Jerusalem,hebrew,,.il,right,"yellow_with_blue_strip,green_West_Bank",,black_on_white,"mesh_framework,yellow_warning_signs,blue_white_painted_bottom_south","black_white,red_white",,"yellow_outer,white_center",hand sign,,,,"red_white_markers,hand_stop_sign,white_background_blue_border_Jerusalem",,"jerusalem_stone,black_water_tanks_Ramallah","mountainous_north,dry_south,date_palm_plantations_Jordanian_border,rock_walls_with_cement_north,dead_sea_dry,sea_of_Galilee_more_vegetated","black_rear_long_antenna,dirty_front_camera_gen4,clean_camera_Tel_Aviv","white_central_south_West_Bank,black_northwest_West_Bank","little_parking_spots_Tel_Aviv,lamp_with_tree_bulbs_north,yellow_fences_and_signposts_north",,"3,4",
Japan,Asia,Tokyo,japanese,,.jp,left,white_green_text,"thin,circular_top_white_front_yellow_rear,orange_and_white_partitioned_rectangular_reflectors_Kyushu_and_Yamaguchi,black_strip_under_reflector_Shikoku,thick_bollard_with_octagonal_yellow_reflector_and_yellow_strip_Tohoku,thick_bollard_with_octagonal_yellow_reflector_and_2_yellow_strips_Akita,extendable_reflector_with_red_stripes_Toyama,octagonal_reflector_with_red_stripe_Okayama,extendable_with_circular_yellow_reflector_and_two_yellow_stripes_Aomori,no_reflector_with_red_stripes_Tohoku_and_Akita,extendable_snow_pole_with_red_stripes_Chugoku",,"vertical_yellow_stripes_on_black_background,diagonal_stripes,orange_arrow_Chugoku,orange_and_black_horizontal_band_Shikoku,horizontal_attachment_with_120_degrees_Kansai,horizontal_attachment_with_90_degrees_Shikoku",,"white,green_stripe_Kyushu,yellow_Yamaguchi,chevron_like_stickers_or_orange_stickers_Hokkaido,red_and_yellow_diagonal_striped_stickers_at_ends_Chugoku_and_Niigata","white_outer,dashed_white_center,yellow_center,yellow_and_white_center",ò­ªÞªì,blue_background_with_2_horizontal_lines,"blue_background_white_text,arrow_pointing_downwards_Hokkaido,hexagonal_shaped_prefecture_signs",,,,"red_tiled_roofs_Chugoku,white_concrete_buildings_with_flat_roof_Okinawa,northern_houses_with_ladders_to_remove_snow,shisa_statues_Okinawa","flat_plains_central_south,sugar_cane_Kyushu_and_Okinawa,chinese_silver_grass_Kyushu_and_central_north,bamboo_trees_south,white_birch_trees_Chubu_and_Hokkaido,rice_fields_central_and_north,tea_plantations_Shizuoka_and_Kagoshima,cabbage_Hokkaido","white,black,low_cam",,"traffic_mirrors_with_orange_frame,red_white_striped_downward_arrow_on_poles_Hokkaido,vertical_traffic_lights_Hokkaido,black_sign_with_2_yellow_circles_Kagawa,Kerosine_tanks_and_hot_water_system_found_commonly_further_north,tiny_circles_on_pavement_for_removing_snow_central_north_coast,light_blue_outer_lanes_Shikoku",,"1,2,3,4",
Jordan,Asia,Amman,arabic,,.jo,right,"white,green_stripe_commercial",,red_on_white,"diagonal_support,Y_pole_tops,metal_poles_with_diagonal_meshes",,,"yellow_outer,white_center",,,,,,black_white_striped,"white_stone,flat_roof","red_soil_Madaba,arid_south,palm_trees_southern_border",black_rear,,"poor_road_condition,yellow_green_taxis_Amman,olive_green_Aqaba",,3,
Kazakhstan,Asia,Astana,"kazakh,russian",,.kz,right,white_black_text,,"black_on_yellow,white_on_red","thin_grey_lamps_with_two_small_light_sources_south,blue_photocell_on_top_west,ascending_pattern_west",,,,,3_stripes,,,,,"gas_pipes,ornamental_patterns,yellow_boxes_connected_to_gas_pipes_southeast","lush_birch_forests_north,grassy_green_plains_northwest,dry_shrubs_southwest,snowy_mountains_southeast,hilly_and_forested_east,dry_shrubs_hilly_south","white_pickup_truck,visible_wire_left_west,3_dots_central_south,zigzag_smudge_left_east,dirty_roof_Almaty,small_smudge_left_Petropavl,thin_layer_of_dirt_north,vertical_line_of_dirt_right_Aktobe,dot_middle_right_west",,"yellow_white_pedestrian_crossing,barcodes_on_street_signs,trees_painted_white,orange_and_black_bus_Aktobe,yellow_and_white_bus_Zhezqazghan,white_green_black_bus_Astana,skyblue_bus_Karaganda,light_green_and_white_Semey,green_bus_Almaty",,4,
Kyrgyzstan,Asia,Bishkek,"kyrgyz,russian",,.kg,right,white_red_strip,white_black_striped,,"concrete_poles,red_yellow_green_white_striped_poles_next_to_Bishkek",,,divided_roads_around_Bishkek_and_Osh,,3_stripes,,,red_white_triangular_marker,,,"bodies_of_water_without_mountains_northeast,mountains_with_radio_masts_Osh,sunny_Karakol,orange_ridge_and_snow_capped_mountains_Naryn","silver,4_bars,less_road_visible_left_side_mirror_central_south,small_dot_left_side_mirror_northwest",,trees_with_bottom_painted_white,,3,
Laos,Asia,Vientiane,lao,,.la,right,"yellow,white_commercial,blue_government",white_black_striped,,square_concrete_with_small_pinholes,"red_white,yellow_white,black_white",,white,2_letter_lao_script,5_stripes,blue_background,,blue_background_back_Luang_Prabang,red_white_striped,"historical_architecture_Luang_Prabang,Mekong_river_bridge_Pakse","Mekong_river_and_mountains_Luang_Prabang,palm_trees_Luang_Prabang,rugged_mountain_range_Vang_Vieng,flat_and_red_soil_Savannakhet,dry_hills_and_red_soil_Pakse",roof_rack_except_Vientiane,,"tourism_related_signs_Vang_Vieng,concrete_road_blocks_east_of_Vientiane",,3,
Lebanon,Asia,Beirut,"arabic,english,french",,.lb,right,"white_blue_strip,red_blue_strip_taxis",,,metallic_mesh_poles,,,,,,,,,,sandstone_bricks,,,,,,"3,shitcam",
Macau,Asia,Beijing,"chinese,portuguese",,.mo,left,black_white_text,,,grey_lamp_posts_painted_black_bottom,,,"white,white_outer,yellow_outer",,,,,,,,,,,"gambling_culture,parking_meters",,2,
Malaysia,Asia,Kuala Lumpur,malay,ringgit,.my,left,black_2_white_sections,"double_red_reflectors,australian_with_black_and_white_stripes",black_on_yellow,"black_stickers_mainland,black_stickers_with_TEL_TNB_Johor,white_stickers_west_Borneo,2_small_circles_on_support_mainland,uneven_insulators_with_diagonal_support_west_Borneo,2_parallel_pole_tops_east_Borneo,boomerang_shaped_support_central_west_Borneo",black_white,,"double_white_center,horizontal_yellow_bars",BERHENTI,,"blue_background,green_background,hexagonal_yellow_highway_shields,yellow_background_Johor,green_background_with_arrow_and_yellow_hexagon_written_JKR_east_Borneo",,"BERI LALUAN,blue_white_marker",black_white_striped,,,grey_car_with_front_right_antenna_central_Borneo,,"trash_bin_logo_resembling_S_south_mainland,trash_bin_logo_resembling_wings_northwest_mainland,trash_bins_with_Alam_Flora_central_mainland,blue_cylindrical_containers_central_borneo",,"3,4","mainland_gen4,Borneo_gen3"
Mongolia,Asia,Ulaan Baatar,mongolian,,.mn,right,white_red_soyombo_symbol,bowling_pin_shaped_with_2_red_stripes,,,,,,¬©¬°¬¤¬³,3_stripes,,,,,"white_round_yurts,giant_sword_statue_far_east","grassy_fields_north,off_road_desert_southeast,paved_desert_roads_southeast,dry_rugged_hills_west,lakes_and_rivers_west,snow_around_ulaan_baatar,orange_colored_trees_north,crop_fields_ulaan_baatar,","rubber_inlays_west,empty_roof_racks_east,netted_spare_tire,single_strap_spare_tire,spare_tire_with_no_strap,without_spare_tire,blue_tent_with_orange_roof_rack_straps_east,tent_with_red_straps_east,blue_tent_with_backwards_snorkel_north_ulaan_baatar,no_tent_around_ulaan_baatar,no_tent_with_backwards_snorkel_southeast_of_ulaan_baatar,silver_tent_central_and_northwest,tent_with_hooks_west,tent_with_missing_left_hooks_far_west,cage_on_roof_around_ulaan_baatar,gen_4_blue_white_patterns_around_ulaan_baatar,loose_tent_cover_left_south",,"concrete_roads_Choibalsan,pedestrian_sign_short_figure_choibalsan,sailboat_lamp_posts_Zamiin_Uud",,"3,4",
Nepal,Asia,Kathmandu,nepali,,.np,left,,,,,,,,,,,,,,"grey_brick,colorful_metal_roofs,rock_walls,white_painted_buddhist_stupa",mountainous,,,,,"trekker,tripod",
Oman,Asia,Muscat,arabic,omani_rial,.om,right,"yellow,red_commercial",,black_on_yellow,"wooden_poles,3_insulators_on_horizontal_bar_with_diagonal_supports,vertically_attached_insulators,red_and_white_painted_high_voltage_pylons",black_and_yellow,,"yellow_outer,white_center",,,blue_background,,,black_and_white_stripes,"bright_colored_houses,blocky","dry_mountainous_north,rolling_hills_with_green_landscape_far_south,sandy_desert_with_light_colored_green_shrubs_northeast,flat_coastal_plain_with_mountains_at_distance_Salalah,grey_soil_Masirah_Island,acacia_trees_north_coast,palm_trees_north_coast_and_Salalah,orange_soil_northeast,light_colored_sand_dunes_south,","white_pickup_truck,large_blur_northwest,antenna_bent_towards_camera_north,straight_antenna_north,antenna_facing_away_from_camera_Muscat,no_wire_northwest,wire_wrapped_around_bar_north,wire wrapped_along_bar_northwest,wire_wrapped_with_cable_tie_northeast,2_cable_ties_south",,"black_or_grey_trash_can_with_3_leaf_logo,grey_trash_bins_north,black_trash_bins_with_white_sticker_north_and_south,red_and_white_taxis",,4,
Pakistan,Asia,Islamabad,"urdu,english",,.pk,left,white_green_strip,,,,,,,,,,,,,temples,"dry,mountainous",,,very_crowdy_Lahore,,"trekker,tripod",traditional_clothings
Philippines,Asia,Manila,"filipino,english",,.ph,right,"white_black_text,yellow_commercial,green_private",,red_on_white,"wooden_poles,metal_poles_with_swirly_insulators_hanging,octagonal_metal_poles,single_insulator_attached_on_vertical_bar,square_concrete_poles_with_indents_on_both_sides_northern_Manila_and_Negros,2_vertical_metal_bars_connected_by_thin_steps_Manila,square_metal_mesh_poles_western_Mindanao,3_unevenly_hanging_insulators_Mindanao",,"black_and_yellow_striped_concrete_guardrails_far_north,triple_black_stripes_Bicol","white,white_center,yellow_center",,,green_background,,yellow_stone_markers,"red,orange,yellow,yellow_lamp_posts_with_black_stripes_Siquijor","thatched_roof,corrugated_metal,amakan_walls_diamond_pattern_southern_half,amakan_walls_diagonally_woven_pattern_Palawan_and_northern_half,muslim_architecture_western_Mindanao,destroyed_houses_western_Mindanao","forested_mountain_range_northern_Luzon_and_Mindanao,corn_plantation_northern_Luzon_and_Mindanao,oil_palm_plantation_Mindanao,sugarcane_Negros_and_Panay,pineapple_plantation_Mindanao,banana_plantation_central_and_southern_Mindanao,Mayon_Volcano_with_cone_shape","white_rear_with_black_roof,silver_rear,black_car_with_roof_rack_far_south,tape_on_the_back_Bohol,orange_car_Corregidor,open_vehicle_with_black_bars_Mayon_Volcano",,"concrete_road,phone_ads,election_posters,tuktuks,motorcyles,grains_on_roads,decorations_made_by_mountain_dew_bottles_northern_Luzon,tractor_with_long_front_part_northern_Luzon,white_waystone_resembling_washington_monument_northwestern_Manila,6_lane_wide_road_with_2_wires_connected_by_continuous_joints,images_and_statues_of_Roman_soldiers_Marinduque",,"3,4",
Qatar,Asia,Doha,"arabic,english",,.qa,right,"white_red_strip,black_trucks,blue_police",black_strip_with_red_reflector_front_and_white_reflector,"white_on_red,white_on_blue",round_poles_with_3_insulators_and_2_diagonal_supports,,,"white_outer,white_center,yellow_center",,2_dashed_horizontal_lines_with_person_wearing_thobe,,,,,,"dry,flat","white_pickup_truck,blurred,short_antenna_north,long_antenna_around_Doha,long_antenna_tilted_to_the_right_southwest",,2022_world_cup_banners,,"3,4",airport_and_museum_trekkers
Russia,Asia,Moscow,russian,,".ru,.¬â¬æ",right,white_black_text,"german_bollards,slovenian_bollards,sharp_looking_hungarian_bollards,thin_bollards_east,black_top_with_double_red_circular_reflectors_Kostroma_Oblast",white_on_red,"wooden_poles_attached_to_concrete_supports,black_and_white_diagonally_striped_shields_near_European_border,square_poles,poles_with_diagonal_support,black_and_white_stripes_on_bottom,red_white_stripes_Ulyanovsk_Nizhny_Novgorod_Saransk,yellow_pole_plates_Tatarstan,mesh_poles_Petrozavodsk,red_painted_poles_Murom,angled_extended_insulators_Chita",black_and_white_striped,black_and_white_striped,outer_dashed_far_west,,"3_stripes_with_yellow_border,clips_on_edges_St.Petersburg_Pskov_Novgorod,u_shaped_hook_Chelyabinsk,hanging_signs_Nizhnevartovsk","¬å¬Ý¬Ú¬è¬Ñ, ¬å¬Ý., ¬Ô¬à¬â¬à¬Õ, ¬Ô., blue_background,bilingual_signs_near_Baltic_border,brown_signs_Moscow_Oblast",,blue_markers,"black_painted_bottom,double_yellow_stickers_Murmansk",rural_houses_made_of_dark_logs_with_colorful_windows,"cabbage_Sakhalin,larch_trees_Siberia_and_Far_East,pink_flower_north,sunflowers_Ukrainian_border,blue_pod_lupines_near_Baltics,black_poplar_Ukrainian_border_and_western_Kazakhstan_border,olive_trees_Kazakhstan_border,grey_soil_Kamchatka","black_rear_long_antenna,white_rear_long_antenna,blurred_rear_short_antenna",,"large_number_of_bollards_near_intersections,wide_roads_near_intersections,white_and_yellow_striped_pedestrian_crossings,trees_painted_white_bottom,steering_wheel_on_right_east,concrete_road_north_west,bright_orange_fences_Irkutsk",,"2,3,4",
Singapore,Asia,Singapore,"malay,english,tamil,singaporean mandarin",,.sg,left,"black_white_text,white,yellow,red",,,curved_metal_traffic_pole_with_holes,black_and_white_striped,,"yellow_outer,white_center",,,"green_background,blue_background",,"square,AHEAD,HUMP,yellow_box_with_black_curved_arrow,green_outer_lane_Sentosa",green_Sentosa,,,,,,,"2,3,4",
South Korea,Asia,Seoul,korean,,.kr,right,"green,white,yellow_commercial",white_black_yellow_or_white_circular_reflector,black_on_yellow,black_and_yellow_diagonal_stripes,,,"white_outer,yellow_center",,,"blue_background,arrow_shaped,green_background",,"triangular,yellow_background,white_background,red_border,blue_background",,"red_bricks,traditional_tiled_roofs","mountainous,dark_dirt_Jeju,rock_walls_Jeju,completely_flat_green_field_Gimje","black_rear,white_rear,silver_rear",,yellow_and_white_diagonal_pedestrian_crossings,,"2,3",
Sri Lanka,Asia,Colombo,"sinhala,tamil",,.lk,left,"long_white_front,short_yellow_rear",short_wide_stone_bollards_white_top_black_bottom,,"metallic_poles_with_3_insulators,square_poles_with_pinholes,holey_poles",,,"white_outer,white_center",,,,,,black_white_striped,buddhist_structures,"red_soil,white_soil,lush,palm_trees,orange_tiled_roofs,wet_climate_southwest,drier_less_vegetation,north_and_southeast,tea_plantation_southwest","blue_white_red_rear_gen3,low_cam_gen4",,green_tuktuks_with_black_roof,,"3,4,shitcam",
Taiwan,Asia,Taipei,chinese,,.tw,right,white_black_text,black_rectangle_with_yellow_circular_reflectors,"black_on_yellow,bent_signs_south","black_and_yellow_diagonal_stripes_touching_bottom,flipped_L_shape_poles_with_diagonal_support,blue_plaque_E3264_sectionE_32east_64north",,circular_reflectors,"white_outer,yellow_double_center,no_center,blue_outer_Penghu",,,green_background,,,"red_white_diagonally_striped_Kinmen,red_white_diagonally_striped_on_trapezoidal_base_Kaoshiung,green_stickers_Chiayi","boxy_buildings,light_green_sheds_made_of_tin,old_disorganized_urban_structures_north,red_brick_buildings_north","flat_farmlands_central_west,mountains_central_east,flat_plains_surrounded_by_mountains_east_and_west_east_coast,rice_paddies_surrounded_by_mountains_except_east_north_east,areca_palms_central_and_south,coconut_palms_south,leafless_trees_Penghu,fish_arms_west_coast,tea_plantations_central_and_north","black_rear_with_long_antenna_gen3,large_blur_gen3,blue_pickup_truck_Taipei_City",,"traffic_mirrors_with_orange_frame,red_outer_lines,concrete_drainage_ditches,distribution_transformers,pavement_with_white_speckles_east_coast,distribution_transformers_raised_on_heights_north",,"2,3,4","area_code_ascending_towards_south,road_2_5_north_4_6_central_west_8_10_south_west_1_3_main"
